S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up
0.1499999999999999,120,96,168,103,153,146,124,114,238,192,213,120,63,110,79,129,130,188,71,119,151,220,139,201,115,172.04999999999995,91,138,154,212,156,221,128,181,73,118
0.25,136,87,138,195,155,82,75,81,109,86,144,57,52,95,71,114,90,150,110,160.04999999999995,170,224,92,141,75,123,67,115,89,136,85,133,80,125,37,69.04999999999995
0.3500000000000001,73,46,72,78,46,50,31,39,49,45,106,37,29,62,28,62,64,102,53,92,57,96,48,83.04999999999995,34,63.049999999999955,43,79,38,76,36,70,40,73,28,58
0.4500000000000002,78,26,57,84,15,42,20,32,37,33,41,21,37,68.04999999999995,17,46,28,62,40,82,29,56,39,69,13,34,30,65,13,40,16,42,11,35,6,23
0.5499999999999998,76,41,31,74,18,11,7,14,10,49,16,6,32,66,20,48,14,41,40,78,8,32.049999999999955,8,28,3,20,12,34,2,17,52,86,3,18,2,15
0.6499999999999999,22,17,31,50,15,7,4,13,10,6,10,11,2,18,6,28,9,32,35,79.04999999999995,7,25,2,19,2,15,4,20,1,11,1,13,1,10,5,25
0.75,22,16,26,33,5,2,2,10,2,6,9,4,2,17,6,22,15,39,19,50,1,14,1,10,1,7,1,13,1,7,1,13,1,7,1,9
0.8500000000000001,19,8,9,38,3,1,2,5,4,4,2,8,1,12,1,13,1,16,27,59,1,12,1,5,1,8,1,9,1,5,1,10,1,4,1,5
0.9500000000000002,10,7,4,11,1,2,2,3,3,7,1,6,1,11,4,18,1,9,14,39,1,7,1,4,1,4,1,7,1,4,1,15,1,4,1,5
1.0499999999999998,3,2,9,19,1,1,1,1,1,1,0,1,1,5,1,7,1,6,14,36,1,5,1,3,1,3,1,5,1,3,1,7,1,3,1,4
1.15,4,0,1,17,2,1,1,1,0,0,2,0,1,5,1,9,1,5,16,39,1,4,1,4,1,3,1,7,1,2,1,4,1,3,1,3
1.25,4,4,1,11,2,3,0,1,1,1,1,0,1,5,1,12,1,4,4,21,1,3,1,5,1,2,1,3,1,2,1,4,1,2,1,2.2999999999999545
1.35,2,0,0,10,0,0,0,2,1,2,0,0,1,3,1,4,1,3,2,17,1,3,1,3,1,2,1,4,1,2,1,5,1,2,1,2
1.4500000000000002,4,0,1,8,0,0,0,1,1,0,0,0,1,3,1,5,1,3,2,16,1,2,1,2,1,1.4499999999999886,1,2,1,2,1,3,1,2,1,2
1.5499999999999998,3,0,0,3,1,0,0,1,0,0,0,0,1,3,1,3,1,3,1,11,1,2,1,1,1,1,1,3,1,2,1,2,1,2,1,2
1.6500000000000004,0,0,1,3,0,0,0,1,0,0,0,0,1,2,1,6,1,2,1,6,1,2,1,2,1,1,1,3,1,2,1,3,1,1.1999999999999886,1,2
1.75,0,0,2,2,0,0,0,2,0,1,0,0,1,2,1,5,1,2,1,4,1,2,1,1,1,1,1,2,1,2,1,2,1,1.5999999999999943,1,2
1.8499999999999996,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,2,1,2,1,4,1,1,1,1,1,1.75,1,3,1,1,1,2,1,1,1,2
1.9500000000000002,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,2,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1.799999999999983,1,1,1,1
2.05,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,2,1,3,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2
2.1500000000000004,0,0,0,1,0,0,0,1,0,0,0,1,1,1.2999999999999972,1,3,1,2,1,3,1,2,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1
2.25,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,1,1,1,3,1,1,1,1,NA,NA,1,2,1,1,1,2,1,1,1,1
2.3500000000000005,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,2,1,2,1,4,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1
2.45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,2,1,1,1,1,NA,NA,1,2,1,1,1,1,1,1,1,1
